Known As,Full Name,Best Position,Nationality,Club Name
V. Barretto,Vincy Barretto,RM,India,Chennaiyin FC
E. Omeragic,Edin Omeragic,GK,Switzerland,Servette FC
Dong Honglin,Honglin Dong,ST,China PR,Changchun Yatai FC
C. Bucuroiu,Cosmin Bucuroiu,RM,Romania,AFC Hermannstadt
O. Zych,Oliwier Zych,GK,Poland,Aston Villa
G. Singh,Gurmukh Singh,CB,India,Chennaiyin FC
E. McJannet,Ed McJannet,CAM,Republic of Ireland,Luton Town
N. Moriah-Welsh,Nathan Moriah-Welsh,RM,Guyana,Newport County
M. Mahoney,Murphy Mahoney,GK,England,Queens Park Rangers
P. Hammer,Pascal Hammer,CB,Switzerland,FC Winterthur
K. Oduroh,Kwaku Oduroh,RB,England,Derby County
A. Delphis,Adrien Delphis,CAM,France,FC Sochaux-Montbéliard
P. Sonn,Philipp Sonn,CAM,Germany,SV Darmstadt 98
D. Robinson,Darren Robinson,CDM,Northern Ireland,Derby County
I. Ogundere,Isaac Ogundere,RWB,England,AFC Wimbledon
F. Recktenwald,Frederik Recktenwald,RWB,Germany,1. FC Saarbrücken
L. Simper,Lewis Simper,CAM,England,Cambridge United
T. Oluwaseyi,Tani Oluwaseyi,ST,Nigeria,Minnesota United FC
J. Burton,Jake Burton,ST,England,Tranmere Rovers
Yoo Yeon Soo,Yeon Soo Yoo,GK,Korea Republic,Jeju United FC
J. Singh,Jiteshwor Singh,CDM,India,Chennaiyin FC
L. Schulze-Kökelsum,Lennart Schulze-Kökelsum,GK,Germany,Eintracht Braunschweig
H. Bright,Harrison Bright,RWB,Wales,Newport County
Jung Min Woo,Min Woo Jung,CAM,Korea Republic,Gangwon FC
T. Ku-DiPietro,Ted Ku-DiPietro,CAM,United States,D.C. United
K. Santos,Koa Santos,CB,United States,Charlotte FC
S. Al Harbi,Sultan Al Harbi,CB,Saudi Arabia,Al Fayha
L. Leigh,Lewis Leigh,CAM,England,Preston North End
J. Gubbins,Joe Gubbins,CB,England,Queens Park Rangers
G. Ciocci,Giuseppe Ciocci,GK,Italy,Cagliari
N. Markanich,Nicholas Markanich,ST,United States,FC Cincinnati
L. Becker,Lucas Becker,GK,Germany,SV Wehen Wiesbaden
A. Ghasem,Alai Hussain Ghasem,RB,Iraq,IFK Göteborg
C. Tyler,Cian Tyler,GK,Wales,Coventry City
A. Chang,Alfie Chang,CB,England,Birmingham City
H. Skogvold,Henrik Skogvold,CAM,Norway,Lillestrøm SK
Diogo Monteiro,Diogo Pinheiro Monteiro,CB,Portugal,Servette FC
S. Das,Sourav Das,CDM,India,Chennaiyin FC
I. Zanfir,Ionuț Zanfir,CDM,Romania,FC U Craiova 1948
A. Ziegler,Anton Ziegler,CAM,Germany,SV Elversberg
H. Mociu,Haralambie Mociu,GK,Romania,AFC UTA Arad
Liu Shibo,Shibo Liu,GK,China PR,Guangzhou FC
Gao Yunan,Yunan Gao,CM,China PR,Hebei FC
B. Sunderland,Beckham Sunderland,GK,United States,FC Cincinnati
S. Osmanoğlu,Sinan Osmanoğlu,CB,Turkey,MKE Ankaragücü
V. Sima,Valentin Sima,GK,Romania,CS Mioveni
L. Boore,Luke Boore,CB,Republic of Ireland,UCD AFC
B. Pursall,Brandon Pursall,CB,England,Plymouth Argyle
J. Moreno,Juan Felipe Moreno,ST,Colombia,FC Midtjylland
M. Méndez,Modesto Méndez,CB,Cuba,Inter Miami CF
B. Cybulski,Bartosz Cybulski,ST,Poland,Derby County
L. Schäfer,Linus Schäfer,LM,Germany,VfB Oldenburg
P. Texel,Pontus Texel,CB,Denmark,FC Midtjylland
M. Shabalala,Mduduzi Shabalala,ST,South Africa,Kaizer Chiefs
K. Thatal,Komal Thatal,CAM,India,Jamshedpur FC
F. Wilfinger,Fabian Wilfinger,CAM,Austria,TSV Egger Glas Hartberg
T. Ostler,Trent Ostler,ST,Australia,Perth Glory
M. Smets,Matte Smets,CDM,Belgium,Sint-Truidense VV
J. Holden,James Holden,GK,England,Cambridge United
A. Al Shanqeeti,Abdullah Al Shanqeeti,CB,Saudi Arabia,Al Khaleej
O. Sławiński,Oliwier Sławiński,ST,Poland,Zagłębie Lubin
T. Goodrham,Tyler Goodrham,CAM,England,Oxford United
M. Young,Matt Young,CAM,England,Leyton Orient
N. James,Noah James,GK,Australia,Newcastle Jets
C. Díaz,Cristián Díaz,CB,Chile,CD Everton de Viña del Mar
H. Al Slais,Hassan Al Slais,ST,Saudi Arabia,Al Fateh
M. Kowal,Maciej Kowal,GK,Poland,Pogoń Szczecin
Dinpuia,PC Laldinpuia,CB,India,Jamshedpur FC
C. Negoescu,Claudiu Negoescu,RM,Romania,AFC UTA Arad
T. Stockinger,Tobias Stockinger,LM,Germany,SpVgg Bayreuth
W. Rivera,Wilfredo Rivera,LM,Puerto Rico,Orlando City Soccer Club
Kim Bum Su,Bum Su Kim,LW,Korea Republic,Jeju United FC
B. Kristiansen,Bendik Kristiansen,CB,Norway,FK Jerv
J. Holland-Wilkinson,Jacob Holland-Wilkinson,ST,England,Stoke City
A. Lai,Alessandro Lai,GK,Italy,Cosenza
I. Boehmer,Isaac Boehmer,GK,Canada,Vancouver Whitecaps FC
E. Benny,Emil Benny,RM,India,NorthEast United FC
N. Milanovic,Nicolas Milanovic,CAM,Australia,Western United FC
K. van Oevelen,Kayne van Oevelen,GK,Netherlands,FC Volendam
W. Hondermarck,Will Hondermarck,CAM,Republic of Ireland,Barnsley
F. Carter,Freddie Carter,CB,England,Gillingham
C. Breivik,Christian Mork Breivik,LWB,Norway,Aalesunds FK
S. Earley,Saxon Earley,LB,England,Stevenage
J. Perez,Jonathan Perez,CAM,Mexico,LA Galaxy
E. Bytyqi,Edis Bytyqi,CAM,Switzerland,FC St. Gallen 1879
C. Collins,Cody Collins,CB,England,Mansfield Town
Y. Al Hassan,Yacoub Al Hassan,ST,Mali,Al Taawoun
A. Rodriguez,Abraham Rodriguez,GK,United States,Colorado Rapids
Lee Kang Han,Kang Han Lee,RB,Korea Republic,Gangwon FC
P. Ramfangzauva,Paul Ramfangzauva,CDM,India,Odisha FC
J. Taylor,James Taylor,RWB,England,Cheltenham Town
A. Moescu,Adrian Moescu,CB,Romania,FC Botoşani
J. Sweeney,Jayden Sweeney,LB,England,Leyton Orient
S. Al Wehimid,Saleh Al Wehimid,GK,Saudi Arabia,Al Ittihad
J. Rafanello,Jeremy Rafanello,ST,United States,Philadelphia Union
I. Cissokho,Ibrahima Cissokho,CAM,Senegal,FK Haugesund
J. Chapman,Jacob Chapman,GK,Australia,Salford City
M. Ćoćić,Miloš Ćoćić,CAM,Serbia,TSV 1860 München
R. Borges Rodrigues,Raphael Borges Rodrigues,CAM,Australia,Melbourne City FC
Choi Byung Chan,Byung Chan Choi,RM,Korea Republic,Sangju Sangmu FC
J. Lynn,Jack Lynn,ST,United States,Orlando City Soccer Club
A. Stenseth,Aleksander B. Stenseth,ST,Norway,Strømsgodset IF
R. Șteau,Raul Șteau,CAM,Romania,AFC UTA Arad
Fan Hengbo,Hengbo Fan,ST,China PR,Guangzhou FC
S. Sahil,Sheikh Sahil,CB,India,Jamshedpur FC
W. Angousana,Wahengbam Angousana,CM,India,SC East Bengal FC
É. Logbo,Élysée Logbo,CAM,France,Le Havre AC
R. Chin,Richard Chin,CDM,England,Charlton Athletic
S. Ngoura,Steve Ngoura,ST,France,Le Havre AC
Song Zhiwei,Zhiwei Song,CB,China PR,Dalian Professional Football Club
M. Mohammad,Manoj Mohammad,LB,India,Hyderabad FC
M. Nemil,Muhammed Nemil,RM,India,FC Goa
B. Albizo,Bryant Albizo,RM,Venezuela,Caracas Fútbol Club
Y. Gomis,Yoni Gomis,CB,France,Le Havre AC
M. Chothe,Makan Winkle Chothe,LM,India,FC Goa
M. Kelly,Michael Kelly,GK,Republic of Ireland,Carlisle United
S. Ebonog,Simon Ebonog,RM,France,Le Havre AC
K. Al Absi,Khalil Al Absi,RM,Saudi Arabia,Al Tai
C. Malley,Connor Malley,CAM,England,Rochdale
C. Evans,Connor Evans,ST,Wales,Crewe Alexandra
A. Sorrentino,Andrea Sorrentino,GK,Italy,US Salernitana 1919
D. Moussadek,Djamal Moussadek,CB,France,Le Havre AC
B. Al Huwaidi,Bader Al Huwaidi,RB,Saudi Arabia,Al Batin
E. Mayenda,Eliezer Mayenda,ST,Spain,FC Sochaux-Montbéliard
M. Bariki,Mehdi Bariki,ST,France,Amiens SC
H. Sibyani,Hussain Sibyani,LB,Saudi Arabia,Al Shabab
A. Marcucci,Anthony Marcucci,GK,United States,New York Red Bulls
H. Ozée,Hugo Ozée,CB,France,US Quevilly Rouen Métropole
G. McConnell,Glenn McConnell,CAM,England,Cambridge United
B. Beganović,Belmin Beganović,LM,Bosnia and Herzegovina,SV Ried
D. Lobban,Dylan Lobban,CAM,Scotland,Aberdeen
K. Corenthin,Killian Corenthin,CDM,France,US Quevilly Rouen Métropole
L. Harvey,Liam Harvey,ST,Scotland,Aberdeen
N. Al Suhaymi,Nawaf Al Suhaymi,RM,Saudi Arabia,Al Batin
L. Mack,Laurin Mack,GK,Germany,SC Freiburg II
A. Carrera,Antonio Carrera,GK,United States,FC Dallas
L. Mariette,Luke Mariette,CAM,Wales,Blackpool
S. Rathi,Sumit Rathi,CB,India,ATK Mohun Bagan FC
T. Sako,Tao Sako,CB,France,Chamois Niortais Football Club
R. Boulais,Rudy Boulais,GK,France,US Quevilly Rouen Métropole
D. Bendrik,David Bendrik,CB,Sweden,Varbergs BoIS FC
J. Yull,Jonny Yull,CAM,Australia,Adelaide United
T. Coman,Tiberiu Coman,ST,Romania,CS Mioveni
R. Al Ghamdi,Riyadh Al Ghamdi,ST,Saudi Arabia,Damac FC
A. Nygaard,Alfons Nygaard,ST,Sweden,IFK Göteborg
E. Piana,Edoardo Piana,GK,Italy,Udinese Calcio
Qu Cheng,Cheng Qu,ST,China PR,Wuhan Three Towns
S. Al Enazi,Saqer Al Enazi,LB,Saudi Arabia,Al Batin
S. Haokip,Semboi Haokip,ST,India,SC East Bengal FC
Wang Haijian,Haijian Wang,RB,China PR,Shanghai Shenhua FC
U. Syversen,Ulrik Syversen,CB,Norway,Aalesunds FK
T. Mokwena,Thabo Mokwena,CB,South Africa,Kaizer Chiefs
Liu Jing,Jing Liu,CB,China PR,Hebei FC
I. Al Ali,Ibrahim Al Ali,LB,Saudi Arabia,Al Tai
A. Adhikari,Ayush Adhikari,CAM,India,Kerala Blasters FC
M. Stjopin,Maksim Stjopin,CAM,Finland,FC Nordsjælland
J. O'Brien,Josh O'Brien,CB,Republic of Ireland,Salford City
S. Thangmuansang,Sebastian Thangmuansang,RB,India,Odisha FC
Oh Hoo Sung,Hoo Sung Oh,CAM,Korea Republic,Daegu FC
P. Klausen,Peder Klausen,GK,Norway,Odds BK
S. Heal,Sam Heal,LB,England,Bristol Rovers
N. Kumar,Naveen Kumar,GK,India,SC East Bengal FC
L. Carlius,Ludvig Carlius,RM,Sweden,Mjällby AIF
S. Sarangi,Shubham Sarangi,RB,India,Odisha FC
A. Abdusalam,Ablikim Abdusalam,RM,China PR,Zhejiang Professional FC
T. Gardies,Téva Gardies,GK,France,Paris FC
J. Bjarnason,Jóhannes K. Bjarnason,CAM,Iceland,IFK Norrköping
L. Meyer,Leny Meyer,LB,Switzerland,FC Luzern
Han Dong,Dong Han,RM,China PR,Henan Songshan Longmen FC
B. Lloyd,Ben Lloyd,CAM,Wales,Swansea City
S. Sserwadda,Steven Sserwadda,CAM,Uganda,New York Red Bulls
J. Hinchy,Jack Hinchy,CM,England,Brighton & Hove Albion
N. El Bahhar,Noureddine El Bahhar,CAM,Egypt,Al Ittihad
B. Dumrath,Bela Dumrath,GK,Germany,FC St. Gallen 1879
K. Pierre,Kayden Pierre,RB,United States,Sporting Kansas City
J. George,Jestin George,CB,India,NorthEast United FC
Qian Yumiao,Yumiao Qian,CB,China PR,Tianjin Jinmen Tiger FC
O. Arblaster,Oliver Arblaster,CM,England,Sheffield United
M. Dehler,Maurice Dehler,GK,Germany,FC Ingolstadt 04
I. Vanmalsawma,Isaac Vanmalsawma,RM,India,Odisha FC
A. Zimarino,Adam Zimarino,LM,Australia,Perth Glory
C. Torres,Christian Torres,ST,Mexico,Los Angeles FC
V. Hagen,Vebjørn Hagen,LB,Norway,Viking FK
T. Antonoglou,Themi Antonoglou,LB,Canada,Toronto FC
S. Shotton,Saul Shotton,CB,England,West Bromwich Albion
R. Al Bloushi,Rayan Al Bloushi,ST,Saudi Arabia,Ettifaq FC
S. Al Nasser,Saad Al Nasser,ST,Saudi Arabia,Al Taawoun
M. Al Darwish,Malek Al Darwish,LM,Saudi Arabia,Al Khaleej
Jin Bo,Bo Jin,RW,China PR,Guangzhou City
A. Drewe,Aaron Drewe,RWB,England,Queens Park Rangers
A. Siddiq,Almoatasim Siddiq,CAM,Saudi Arabia,Al Ittihad
A. Sangwan,Aakash Sangwan,LB,India,Chennaiyin FC
Han Jong Mu,Jong Mu Han,CAM,Korea Republic,Jeju United FC
J. Chapman,Josh Chapman,GK,England,Rotherham United
F. Manfrin,Filippo Manfrin,GK,Italy,Cittadella
Cho Jae Hun,Jae Hun Cho,CAM,Korea Republic,Pohang Steelers
J. Pradic,James Pradic,GK,Wales,Preston North End
L. Carlstrand,Linus Carlstrand,ST,Sweden,IFK Göteborg
E. Kischka,Emil Kischka,CAM,Germany,Eintracht Braunschweig
D. Murugesapillai,Dylan Murugesapillai,CAM,Norway,Lillestrøm SK
S. Touray,Saikou Touray,CM,Gambia,Grenoble Foot 38
N. Pedersen,Niclas Holm Pedersen,LM,Denmark,Silkeborg IF
S. Al Mousa,Saad Al Mousa,CB,Saudi Arabia,Ettifaq FC
He Yupeng,Yupeng He,RM,China PR,Dalian Professional Football Club
J. Gaines,Julian Gaines,RB,United States,Los Angeles FC
Lee Ji Yong,Ji Yong Lee,RM,Korea Republic,Pohang Steelers
L. Hiemann,Lucas Hiemann,GK,Germany,FSV Zwickau
Liu Sheng,Sheng Liu,CB,China PR,Meizhou Hakka
Y. Minteh,Yankuba Minteh,CAM,Gambia,Odense Boldklub
A. Sæther,Adrian Sæther,GK,Norway,Kristiansund BK
A. Aremeyaw,Abasa Aremeyaw,CB,Ghana,Philadelphia Union
Q. Bartley,Quaine Bartley,ST,England,AFC Wimbledon
D. Edvardsson,David Edvardsson,RM,Sweden,IFK Värnamo
A. Al Muzayil,Abdulkareem Al Muzayil,RWB,Saudi Arabia,Al Batin
D. Nkrumah,Daniel Nkrumah,ST,England,Leyton Orient
J. Ciućka,Jan Ciućka,ST,Poland,Górnik Zabrze
V. Byskov,Valdemar Byskov,CAM,Denmark,FC Midtjylland
P. Buam,Phrangki Buam,CAM,India,FC Goa
Wang Jingbin,Jingbin Wang,ST,China PR,Wuhan FC
E. Aarflot,Elias Aarflot,ST,Norway,Tromsø IL
D. Bassi,Daniel Bassi,CAM,Norway,Tromsø IL
Yeljan Shinar,Yeljan Shinar,RB,China PR,Shenzhen FC
M. Broholm,Marius Broholm,CAM,Norway,Rosenborg BK
R. Jordan,Rory Jordan,CAM,Australia,Newcastle Jets
M. Weidel,Marius Weidel,ST,Norway,Kristiansund BK
J. Tapia,Joshua Tapia,GK,Chile,Unión La Calera
Kim Hun Min,Hun Min Kim,RB,Korea Republic,Seongnam FC
L. Cross,Liam Cross,CAM,England,Northampton Town
J. Carney,Jacob Carney,GK,England,Sunderland
L. Jaquez,Luca Jaquez,CB,Switzerland,FC Luzern
S. Golui,Sarthak Golui,CB,India,SC East Bengal FC
Cai Mingmin,Mingmin Cai,CAM,China PR,Guangzhou FC
M. Murphy,Max Murphy,RB,Republic of Ireland,Bohemian FC
L. Walker,Lewis Walker,ST,England,Gillingham
K. Agro,Koca Manu Agro,GK,France,FC Sochaux-Montbéliard
D. Murgaonkar,Devendra Murgaonkar,ST,India,FC Goa
H. Singh,Huidrom Singh,LB,India,Mumbai City FC
N. Wagner,Noah Wagner,CB,Germany,SC Freiburg II
A. Blidar,Alexandru Blidar,RM,Romania,FC U Craiova 1948
J. Horz,Jannik Horz,GK,Germany,Eintracht Frankfurt
A. Pătlăgică,Alexandru Pătlăgică,RB,Romania,AFC UTA Arad
J. Kenneryd,Johan Kenneryd,CB,Sweden,IFK Värnamo
S. Passi,Sumeet Passi,ST,India,SC East Bengal FC
J. Muir,Jacob Muir,CB,Australia,Perth Glory
J. Newman,Jack Newman,GK,Scotland,Dundee United
D. Paraschiv,Daniel Paraschiv,GK,Romania,FC Voluntari
C. Witzig,Christian Witzig,CAM,Switzerland,FC St. Gallen 1879
J. Nielsen,Jeppe Ørris Nielsen,GK,Denmark,Randers FC
L. Sharma,Lara Sharma,GK,India,Bengaluru FC
T. Williams,Thomas Williams,CB,United States,Orlando City Soccer Club
S. Strand-Kolbjørnsen,Storm Strand-Kolbjørnsen,GK,Norway,Vålerenga Fotball
I. Parente,Isaiah Parente,CAM,United States,Columbus Crew
J. Lutostański,Jakub Lutostański,ST,Poland,Śląsk Wrocław
V. Göransson,Victor Göransson,RM,Sweden,Helsingborgs IF
R. Al Qahtani,Rayan Al Qahtani,LM,Saudi Arabia,Damac FC
E. Viegbe,Eyram Viegbe,CDM,France,Valenciennes FC
A. Picornell,André Picornell,GK,Sweden,Djurgårdens IF
M. Larsen,Marinus Larsen,CAM,Denmark,Brøndby IF
P. Karuthadathkuni,Prasanth Karuthadathkuni,RM,India,Kerala Blasters FC
N. Harness,Nathan Harness,GK,England,Charlton Athletic
P. Gogoi,Pragyan Gogoi,CDM,India,NorthEast United FC
J. Torrance,Joel Torrance,GK,England,Salford City
S. Ottiger,Severin Ottiger,CB,Switzerland,FC Luzern
Liu Guobo,Guobo Liu,ST,China PR,Beijing Guoan FC
M. Baaloudj,Mehdi Baaloudj,ST,Algeria,En Avant de Guingamp
K. Nassiri,Kiyan Nassiri,ST,India,ATK Mohun Bagan FC
Yao Daogang,Daogang Yao,CB,China PR,Hebei FC
T. Moirangthem,Thoiba Singh Moirangthem,CB,India,Odisha FC
J. Slater,Jacob Slater,LWB,Republic of Ireland,Preston North End
S. Camara,Sidiki Camara,CAM,Switzerland,Servette FC
Park Ji won,Ji won Park,ST,Korea Republic,Seongnam FC
S. Simons,Scott Simons,GK,England,Carlisle United
M. Roberts,Morgan Roberts,LM,Wales,Swindon Town
A. Dithmer,Andreas Dithmer,GK,Denmark,F.C. København
C. Humphreys,Cameron Humphreys,LM,England,Ipswich Town
E. Khouri,Evan Khouri,LM,England,Grimsby Town
N. Rupp,Noah Rupp,CAM,Switzerland,FC Luzern
M. Serbest,Mücahit Serbest,GK,Turkey,İstanbulspor
H. Gustafsson,Hampus Gustafsson,GK,Sweden,IFK Värnamo
T. van Assema,Tim van Assema,CB,Sweden,IFK Göteborg
S. van der Sluis,Scott van der Sluis,GK,Wales,Shelbourne FC
C. Davies,Curtis Davies,RM,England,Mansfield Town
Liang Shaowen,Shaowen Liang,CB,China PR,Beijing Guoan FC
B. Adeeko,Babajide Adeeko,CAM,Republic of Ireland,Wigan Athletic
Xu Jiamin,Jiamin Xu,GK,China PR,Tianjin Jinmen Tiger FC
F. Brancolini,Federico Brancolini,GK,Italy,Lecce
R. Luthra,Rohan Luthra,GK,England,Cardiff City
D. Hafstad,Didrik Hafstad,ST,Norway,Tromsø IL
N. Toggenburger,Nando Toggenburger,ST,Switzerland,FC Luzern
Kwon Ki Pyo,Ki Pyo Kwon,ST,Korea Republic,Pohang Steelers
M. Isager,Magnus Isager,CDM,Denmark,AC Horsens
A. Ryste,Anders Hartveit Ryste,ST,Norway,Odds BK
K. Fotheringham,Kai Fotheringham,CAM,Scotland,Dundee United
D. Durivaux,Dylan Durivaux,RB,France,Chamois Niortais Football Club
J. Carragher,James Carragher,CB,England,Wigan Athletic
A. Circati,Alessandro Circati,CB,Italy,Parma
S. Smith,Scott Smith,CM,Wales,Wigan Athletic
Xu Dong,Dong Xu,LB,China PR,Wuhan FC
A. Gauthier,Antoine Gauthier,CAM,France,AS Saint-Étienne
G. Samaké,Gaoussou Samaké,LWB,Côte d'Ivoire,D.C. United
E. Centeno,Erik Centeno,RB,United States,Atlanta United
O. Battersby,Ollie Battersby,GK,England,Grimsby Town
Byun Gyeong Jun,Gyeong Jun Byun,ST,Korea Republic,Jeju United FC
J. Gbode,Joseph Gbode,ST,England,Gillingham
H. Al Farhan,Hisham Al Farhan,CM,Saudi Arabia,Ettifaq FC
C. Finney,Charlie Finney,CAM,England,Crewe Alexandra
R. Radtke,Raphael Radtke,GK,Switzerland,FC Luzern
F. Rahn,Frederik Rahn,LB,Germany,SV Sandhausen
A. Bačić,Angelo Bačić,CAM,Austria,Austria Lustenau
M. Albayrak,Mehmet Albayrak,CB,Turkey,Demir Grup Sivasspor
F. Giraudo,Federico Giraudo,CB,Italy,Urbs Reggina 1914
K. Suzuki,Keita Suzuki,LWB,Japan,Daegu FC
S. Weirauch,Szymon Weirauch,GK,Poland,Zagłębie Lubin
G. Kirejczyk,Gabriel Kirejczyk,ST,Poland,Piast Gliwice
J. Tabiner,Joel Tabiner,CAM,England,Crewe Alexandra
E. Fernandez,Emmanuel Fernandez,CB,England,Peterborough United
B. Bottomley,Ben Bottomley,GK,England,Doncaster Rovers
G. Mortensen,Gustav Mortensen,LWB,Denmark,Lyngby BK
Piao Taoyu,Taoyu Piao,RM,China PR,Tianjin Jinmen Tiger FC
W. Richmond,Will Richmond,RM,United States,San Jose Earthquakes
A. Jok,Atem Dor Jok,ST,Australia,Central Coast Mariners
J. Whitworth,Joe Whitworth,GK,England,Crystal Palace
H. Bunker,Harvey Bunker,CAM,England,Forest Green Rovers
J. Cotterill,Joel Cotterill,CM,Wales,Swansea City
N. Quiñónes,Nelson Quiñónes,CAM,Colombia,Houston Dynamo
N. Lebreton,Noé Lebreton,RB,France,Stade Malherbe Caen
C. Johnson,Cody Johnson,CAM,England,Stockport County
O. Wolff,Owen Wolff,RM,United States,Austin FC
D. Markovic,Dalibor Markovic,LB,Australia,Western United FC
T. Al Hajji,Taher Al Hajji,GK,Saudi Arabia,Al Khaleej
G. Marks,George Marks,GK,United States,Charlotte FC
J. Ardila,José Ardila,CAM,Venezuela,Estudiantes de Mérida
M. Arena,Matteo Arena,CB,Italy,SPAL
H. Al Zahrani,Hazim Al Zahrani,LWB,Saudi Arabia,Al Khaleej
L. Sonzogni,Luca Sonzogni,GK,Italy,Brescia
A. Jercălău,Andrei Jercălău,GK,Romania,Petrolul Ploiești
M. Wyparło,Michael Wyparło,CB,Poland,PGE FKS Stal Mielec
J. Siaj,Jaime Siaj,ST,Jordan,Finn Harps
T. Ikoba,Tega Ikoba,ST,United States,Portland Timbers
A. Emakhu,Aidomo Emakhu,ST,Republic of Ireland,Shamrock Rovers
M. Nielsen,Magnus Nielsen,GK,Denmark,Odense Boldklub
A. Sorenson,Anton Sorenson,LB,United States,Philadelphia Union
A. Crivac,Alexandru Crivac,CDM,Romania,Rapid București
D. Meitei,Denechandra Meitei,LB,India,Odisha FC
H. Abraham,Halik Abraham,RM,China PR,Shanghai Port FC
R. Jones,Robert Jones,ST,Scotland,Finn Harps
P. Shrivas,Parag Shrivas,RB,India,Bengaluru FC
S. Anaku,Sadat Anaku,ST,Uganda,Dundee United
D. Sala,David Sala,CDM,Romania,Universitatea Craiova
C. Brann,Conor Brann,GK,Republic of Ireland,Swindon Town
José Aguilar,José Aguilar Martinez,CAM,Spain,FC Sion
A. Utiu,Alexandru Utiu,GK,Romania,AFC Hermannstadt
S. Tickle,Sam Tickle,GK,England,Wigan Athletic
G. Lillienberg,Gustav Lillienberg,GK,Sweden,IFK Göteborg
J. Karadogan,Jack Karadogan,CAM,Wales,Newport County
A. Morosoli,Attilio Morosoli,GK,Switzerland,FC Lugano
K. Paulsen,Kristoffer Paulsen,CB,Norway,Viking FK
M. Jobe,Mamadou Jobe,CB,England,Cambridge United
O. Tipton,Oliver Tipton,CB,England,Wolverhampton Wanderers
Kim Ryun Seong,Ryun Seong Kim,LB,Korea Republic,Sangju Sangmu FC
M. Gould,Matt Gould,GK,New Zealand,Free agent
D. Davies,Dan Davies,LWB,Wales,Wrexham AFC
R. Fay,Ross Fay,RM,Republic of Ireland,St. Patrick's Athletic
S. McSweeney,Seán McSweeney,CAM,Republic of Ireland,Shelbourne FC
Z. Guinan,Zac Guinan,ST,England,Cheltenham Town
G. Beavers,Gavin Beavers,GK,United States,Real Salt Lake
Guo Hanru,Hanru Guo,GK,China PR,Hebei FC
M. Connelly,Matthew Connelly,GK,Scotland,Motherwell
A. Longmire,Ahmed Longmire,CB,United States,Nashville SC
P. Kumar,Pawan Kumar,GK,India,SC East Bengal FC
S. Banozic,Sebastian Banozic,GK,Sweden,BK Häcken
C. Maxim,Cristian Maxim,RB,Romania,AFC UTA Arad
J. McManus,James McManus,CDM,Republic of Ireland,Bohemian FC
T. Streller,Till Streller,CB,Germany,FSV Zwickau
S. Tavora,Sahil Tavora,CDM,India,Hyderabad FC
S. Diba,Samba Lélé Diba,CAM,Senegal,Servette FC
A. George,Adan George,ST,England,Birmingham City
M. Edwards,Michael Edwards,CB,United States,Colorado Rapids
A. Al Hassan,Abbas Al Hassan,CB,Saudi Arabia,Al Fateh
S. Dávila,Sebastián Dávila,RM,Venezuela,Estudiantes de Mérida
A. Kasumovic,Asad Kasumovic,ST,Australia,Adelaide United
D. Iordache,David Iordache,CB,Romania,Rapid București
C. Heaney,Cillian Heaney,RM,Republic of Ireland,Sligo Rovers
C. Gavilán,Carlos Gavilán,ST,Paraguay,General Caballero (JLM)
Wang Jinshuai,Jinshuai Wang,GK,China PR,Dalian Professional Football Club
K. Singh,Karanjit Singh,GK,India,Kerala Blasters FC
O. Gallagher,Oisin Gallagher,RM,Republic of Ireland,Lincoln City
F. Al Dawsari,Fahad Al Dawsari,LM,Saudi Arabia,Ettifaq FC
J. Morris,Jake Morris,CB,United States,Columbus Crew
M. Chakladar,Monotosh Chakladar,CB,India,Chennaiyin FC
E. Brienza,Emiliano Brienza,ST,Canada,Vancouver Whitecaps FC
T. Al Mutairi,Turki Al Mutairi,ST,Saudi Arabia,Al Taawoun
M. Al Khaibari,Mohammed Al Khaibari,CB,Saudi Arabia,Al Hilal
C. Schmidt,Christian Schmidt,ST,Germany,SSV Jahn Regensburg
N. Al Hadhood,Nasser Al Hadhood,CDM,Saudi Arabia,Al Hilal
Xing Yu,Yu Xing,GK,China PR,Chengdu Rongcheng F.C.
R. Munro,Ross Munro,GK,Scotland,Ross County FC
A. Mikułko,Antoni Mikułko,GK,Poland,Lechia Gdańsk
D. Moore,Daniel Moore,GK,England,Burton Albion
K. Molefe,Karabo Molefe,GK,South Africa,Kaizer Chiefs
A. Hakku,Abdul Hakku,CB,India,Kerala Blasters FC
H. Antonay,Hendry Antonay,RB,India,Odisha FC
N. Al Bishi,Nasser Al Bishi,CAM,Saudi Arabia,Al Shabab
J. Johnson,Josh Johnson,CAM,England,Oxford United
B. Al Hurayji,Bessam Al Hurayji,CAM,Saudi Arabia,Al Batin
A. Florescu,Alexandru Florescu,ST,Romania,Campionii FC Arges
J. Castilla,Juan Castilla,CAM,Colombia,Houston Dynamo
H. Giles,Harvey Giles,GK,England,Harrogate Town
D. Rența,Denis Rența,CB,Romania,Sepsi OSK Sf. Gheorghe
G. Asomani,George Asomani,CDM,Ghana,San Jose Earthquakes
Hong Jang Woo,Jang Woo Hong,RM,Korea Republic,Jeonbuk Hyundai Motors
B. Curtis,Ben Curtis,CB,Republic of Ireland,St. Patrick's Athletic
O. Larraz,Oliver Larraz,CAM,United States,Colorado Rapids
Lee Joon Ho,Joon Ho Lee,ST,Korea Republic,Jeonbuk Hyundai Motors
M. Rakip,Mohamad Rakip,RB,India,SC East Bengal FC
C. Mutawe,Charles Mutawe,CB,Republic of Ireland,Drogheda United
